18.0396 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1280, 1024]. Using actual size
451.1840 	Level injecting via pump at address 2 	25
451.1841 	Level injecting via pump at address 2 	25
451.1844 	Level post injecting via pump at address 2 	25
457.1652 	DATA 	Keypress: o
457.1665 	DATA 	Keypress: o
457.1676 	DATA 	Keypress: o
457.1822 	Level start wait 	25
459.1653 	DATA 	Keypress: o
459.1815 	Level RINSE 	25
462.1650 	DATA 	Keypress: o
462.1663 	DATA 	Keypress: o
462.1808 	Level Start Jitter 	25
467.1593 	Level finished 	25
467.1608 	DATA 	Keypress: o
467.1620 	DATA 	Keypress: o
467.1628 	Level onset of trial =398.000000 	25
467.3796 	Level image=CO.jpg 	25
468.1624 	DATA 	Keypress: o
468.1784 	Level injecting via pump at address 1 	25
468.1785 	Level injecting via pump at address 1 	25
468.1787 	Level post injecting via pump at address 1 	25
474.1648 	DATA 	Keypress: o
474.1659 	DATA 	Keypress: o
474.1672 	DATA 	Keypress: o
474.1768 	Level start wait 	25
476.1656 	DATA 	Keypress: o
476.1758 	Level RINSE 	25
479.1650 	DATA 	Keypress: o
479.1750 	Level Start Jitter 	25
485.1593 	Level finished 	25
485.1610 	DATA 	Keypress: o
485.1622 	DATA 	Keypress: o
485.1634 	DATA 	Keypress: o
485.1642 	Level onset of trial =416.000000 	25
485.3707 	Level image=water.jpg 	25
486.1618 	DATA 	Keypress: o
486.1736 	Level injecting via pump at address 0 	25
486.1738 	Level injecting via pump at address 0 	25
486.1740 	Level post injecting via pump at address 0 	25
492.1651 	DATA 	Keypress: o
492.1664 	DATA 	Keypress: o
492.1677 	DATA 	Keypress: o
492.2042 	Level start wait 	25
494.1644 	DATA 	Keypress: o
494.1866 	Level NO RINSE 	25
508.1593 	Level finished 	25
508.1609 	DATA 	Keypress: o
508.1622 	DATA 	Keypress: o
508.1636 	DATA 	Keypress: o
508.1648 	DATA 	Keypress: o
508.1660 	DATA 	Keypress: o
508.1672 	DATA 	Keypress: o
508.1684 	DATA 	Keypress: o
508.1694 	Level onset of trial =439.000000 	25
508.3822 	Level image=water.jpg 	25
509.1656 	Level injecting via pump at address 0 	25
509.1658 	Level injecting via pump at address 0 	25
509.1660 	Level post injecting via pump at address 0 	25
515.1642 	DATA 	Keypress: o
515.1653 	DATA 	Keypress: o
515.1662 	DATA 	Keypress: o
515.1795 	Level start wait 	25
517.1647 	DATA 	Keypress: o
517.1722 	Level NO RINSE 	25
529.1593 	Level finished 	25
